taxon,correct_taxon,functional_group,family
Halenia_umbellata,Halenia umbellata,Forb,Gentianaceae
Lachemilla_orbiculata,Lachemilla orbiculata,Forb,Rosaceae
Eriosorus_cheilanthoides,Eriosorus cheilanthoides,Fern,Pteridaceae
Gaultheria_glomerata,Gaultheria glomerata,Woody,Ericaceae
Pernettya_prostrata,Pernettya prostrata,Woody,Ericaceae
Carex_pichinchensis,Carex pichinchensis,Gramminoid,Cyperaceae
Vaccinium_floribundum,Vaccinium floribundum,Woody,Ericaceae
Poa_spicigera,Poa spicigera,Gramminoid,Poaceae
Rhynchospora_macrochaeta,Rhynchospora macrochaeta,Gramminoid,Cyperaceae
Gamochaeta_coarctata,Gamochaeta coarctata,Forb,Asteraceae
Festuca_sp4,Festuca sp4,Gramminoid,Poaceae
Agrostis_trichodes,Agrostis trichodes,Gramminoid,Poaceae
Anatherostipa_hans-meyeri,Anatherostipa hans-meyeri,Gramminoid,Poaceae
Antennaria_linearifolia,Antennaria linearifolia,Forb,Asteraceae
Baccharis_caespitosa,Baccharis caespitosa,Woody,Asteraceae
Aphanactis_villosa,Aphanactis villosa,Forb,Asteraceae
Oxalis_oreocharis,Oxalis oreocharis,Forb,Oxalidaceae
Luzula_racemosa,Luzula racemosa,Gramminoid,Juncaceae
Agrostis_foliata,Agrostis foliata,Gramminoid,Poaceae
Elaphoglossum_huacsaro,Elaphoglossum huacsaro,Fern,Dryopteridaceae
Hieracium_c.f. mandonii,Hieracium cf. mandonii,Forb,Asteraceae
Paspalum_bonplandianum,Paspalum bonplandianum,Gramminoid,Poaceae
Baccharis_genistelloides,Baccharis genistelloides,Woody,Asteraceae
Elaphoglossum_amphioxys,Elaphoglossum amphioxys,Fern,Dryopteridaceae
Chaptalia_cordata,Chaptalia cordata,Forb,Asteraceae
Hypericum_andinum,Hypericum andinum,Woody,Hypericaceae
Miconia_rotundifolia,Miconia rotundifolia,Woody,Melastomataceae
Lycopodium_clavatum,Lycopodium clavatum,Fern,Lycopodiaceae
Euphorbia_huancachana,Euphorbia huanchahana,Forb,Euphobiaceae
Werneria_nubigena,Werneria nubigena,Forb,Asteraceae
Oreithales_integrifolia,Oreithales integrifolia,Forb,Asteraceae
Belonanthus_hispidus,Belonanthus hispidus,Forb,Caprifoliaceae
Werneria_villosa,Werneria villosa,Forb,Asteraceae
Carex_pygmaea,Carex pygmaea,Gramminoid,Cyperaceae
Hypochaeris_taraxacoides,Hypochaeris taraxacoides,Forb,Asteraceae
Bromus_lanatus,Bromus lanatus,Gramminoid,Poaceae
Carex_boliviensis,Carex boliviensis,Gramminoid,Cyperaceae
Orithrophium_hieracioides,Oritrophium hieracioides,Forb,Asteraceae
Gentianella_ernestii,Gentianella ernestii,Forb,Gentianaceae
Orithrophium_integrifolia,Oreithales integrifolia,Forb,Asteraceae
Perezia_pungens,Perezia pungens,Forb,Asteraceae
Geranium_filipes,Geranium sessiliflorum,Forb, Geraniaceae
Calamagrostis_tarmensis,Calamagrostis tarmensis,Gramminoid,Poaceae
Festuca_andina,Festuca andina,Gramminoid,Poaceae
Oreomyrrhis_andicola,Oreomyrrhis andicola,Forb,Apiaceae
Calamagrostis_rigida,Calamagrostis rigida,Gramminoid,Poaceae
Calamagrostis_cf. macrophylla,Calamagrostis anemona,Gramminoid,Poaceae
Agrostis_breviculmis,Agrostis breviculmis,Gramminoid,Poaceae
Viola_pygmaea,Viola pygmaea,Forb,Violaceae
Oritrophium_hieracioides,Oritrophium hieracioides,Forb,Asteraceae
Lachemilla_vulcanica,Lachemilla cf vulcanica,Forb,Rosaceae
Festuca_dolichophylla,Festuca dolichophylla,Gramminoid,Poaceae
Carex_bonplandii,Carex bonplandii,Gramminoid,Cyperaceae
Calamagrostis_trichophylla,Calamagrostis anemona,Gramminoid,Poaceae
Trichophorum_rigidum,Trichophorum rigidum,Gramminoid,Cyperaceae
Chuscea_intipacarin,Chusquea intipaqariy,Gramminoid,Poaceae
Cortaderia_bifida,Cortaderia bifida,Gramminoid,Poaceae
Lachemilla_jamesoni,Lachemilla jamesonii,Forb,Rosaceae
Calamagrostis_macrophylla,Calamagrostis anemona,Gramminoid,Poaceae
Hallenia_umbullata,Halenia umbellata,Forb,Gentianaceae
Cortaderia_hapalotricha,Cortaderia hapalotricha,Gramminoid,Poaceae
Jamesonia_alstonii,Jamesonia blepharum,Fern,Pteridaceae
